Participant,Related_Final,Unrelated_Final,Total_Final,Condition,Related_RT,Unrelated_RT,Total_RT,Related_JOL,Unrelated_JOL,Total_JOL,Related_Practice,Unrelated_Practice,Total_Practice
1001,0.80,0.17,0.48,Cue-only JOL,3.12,3.17,3.14,41.07,31.67,36.37,,,
1004,1.00,0.80,0.90,Cue-only JOL,2.53,3.87,3.20,90.00,65.20,77.60,,,
1008,0.93,0.40,0.67,Cue-only JOL,2.59,2.67,2.63,71.03,51.03,61.20,,,
1012,0.97,0.77,0.87,Cue-only JOL,1.88,2.68,2.28,95.67,76.33,86.00,,,
1016,0.87,0.10,0.48,Cue-only JOL,3.80,4.79,4.29,60.70,23.80,42.25,,,
1020,0.97,0.50,0.73,Cue-only JOL,3.20,4.12,3.66,78.43,39.80,59.12,,,
1024,0.47,0.13,0.30,Cue-only JOL,2.62,3.21,2.92,70.21,65.31,67.76,,,
1028,0.80,0.33,0.57,Cue-only JOL,3.17,3.32,3.25,76.90,65.90,71.40,,,
1034,1.00,0.37,0.68,Cue-only JOL,2.76,3.49,3.13,87.17,54.33,70.75,,,
1036,0.93,0.30,0.62,Cue-only JOL,3.36,3.67,3.52,80.97,57.30,69.13,,,
1040,0.90,0.23,0.57,Cue-only JOL,2.65,3.94,3.28,79.67,43.57,62.24,,,
1044,0.77,0.07,0.42,Cue-only JOL,3.15,2.98,3.07,60.83,29.33,45.08,,,
1048,0.63,0.20,0.42,Cue-only JOL,4.33,5.40,4.86,66.79,34.97,50.88,,,
1052,0.77,0.03,0.40,Cue-only JOL,3.45,4.05,3.74,77.10,72.61,74.93,,,
1056,1.00,0.80,0.90,Cue-only JOL,2.66,3.97,3.31,87.40,42.03,64.72,,,
1060,0.63,0.00,0.32,Cue-only JOL,4.29,4.81,4.55,48.03,20.77,34.40,,,
1064,0.83,0.37,0.60,Cue-only JOL,2.25,3.10,2.68,86.73,48.77,67.75,,,
1068,0.83,0.07,0.45,Cue-only JOL,2.79,3.19,2.99,64.69,49.00,56.71,,,
1076,0.93,0.23,0.58,Cue-only JOL,2.79,3.85,3.32,69.40,43.77,56.58,,,
1080,0.90,0.53,0.72,Cue-only JOL,2.79,3.55,3.17,85.83,68.45,77.29,,,
1084,0.80,0.23,0.52,Cue-only JOL,2.07,2.24,2.15,60.25,35.03,47.21,,,
1088,0.67,0.03,0.35,Cue-only JOL,2.65,2.96,2.80,71.79,39.88,56.43,,,
1092,0.93,0.30,0.62,Cue-only JOL,2.33,2.27,2.30,93.33,77.59,85.59,,,
1100,0.80,0.03,0.42,Cue-only JOL,2.31,2.17,2.24,60.83,27.57,44.20,,,
1108,0.80,0.30,0.55,Cue-only JOL,3.34,3.45,3.40,66.07,55.07,60.66,,,
1112,0.67,0.13,0.40,Cue-only JOL,2.97,2.99,2.98,37.17,20.27,28.72,,,
1120,0.23,0.00,0.12,Cue-only JOL,1.91,1.35,1.62,36.21,38.60,37.42,,,
1133,0.87,0.07,0.47,Cue-only JOL,2.80,2.65,2.73,65.67,47.93,56.95,,,
1137,0.57,0.07,0.32,Cue-only JOL,2.85,4.14,3.49,38.63,19.10,28.87,,,
1141,0.87,0.30,0.58,Cue-only JOL,2.61,4.22,3.40,92.67,72.76,82.88,,,
1145,0.73,0.00,0.37,Cue-only JOL,2.38,2.43,2.41,56.10,37.45,46.93,,,
1149,0.90,0.03,0.47,Cue-only JOL,2.82,3.61,3.21,84.07,35.30,59.68,,,
1153,0.73,0.00,0.37,Cue-only JOL,3.06,3.72,3.38,64.20,23.00,43.95,,,
1161,0.83,0.20,0.52,Cue-only JOL,2.95,3.28,3.12,68.60,53.37,60.98,,,
1165,0.73,0.03,0.38,Cue-only JOL,2.74,4.01,3.36,77.87,33.66,56.14,,,
1169,0.93,0.23,0.58,Cue-only JOL,2.80,3.83,3.32,76.47,24.57,50.52,,,
